,name
0,"Milk, NFS"
1,"Milk, whole"
2,"Milk, reduced fat (2%)"
3,"Milk, low fat (1%)"
4,"Milk, fat free (skim)"
5,"Milk, lactose free, low fat (1%)"
6,"Milk, lactose free, fat free (skim)"
7,"Milk, lactose free, reduced fat (2%)"
8,"Milk, lactose free, whole"
9,Buttermilk
10,Kefir
11,Goat milk
12,"Milk, dry, reconstituted, nonfat"
13,"Milk, dry, reconstituted, whole"
14,"Milk, evaporated, NS as to fat content"
15,"Milk, evaporated, whole"
16,"Milk, evaporated, reduced fat (2%)"
17,"Milk, evaporated, fat free (skim)"
18,"Milk, condensed, sweetened"
19,"Non-dairy milk, NFS"
20,"Soy milk, sweetened"
21,"Soy milk, unsweetened"
22,"Soy milk, chocolate"
23,"Almond milk, sweetened"
24,"Almond milk, chocolate"
25,"Almond milk, unsweetened"
26,"Almond milk, NFS"
27,Rice milk
28,Oat milk
29,Coconut milk
30,"Yogurt, NFS"
31,"Yogurt, Greek, NS as to type of milk or flavor"
32,"Yogurt, NS as to type of milk or flavor"
33,"Yogurt, NS as to type of milk, plain"
34,"Yogurt, whole milk, plain"
35,"Yogurt, low fat milk, plain"
36,"Yogurt, nonfat milk, plain"
37,"Yogurt, Greek, NS as to type of milk, plain"
38,"Yogurt, Greek, whole milk, plain"
39,"Yogurt, Greek, low fat milk, plain"
40,"Yogurt, Greek, nonfat milk, plain"
41,"Yogurt, NS as to type of milk, fruit"
42,"Yogurt, whole milk, fruit"
43,"Yogurt, low fat milk, fruit"
44,"Yogurt, nonfat milk, fruit"
45,"Yogurt, Greek, NS as to type of milk, fruit"
46,"Yogurt, Greek, whole milk, fruit"
47,"Yogurt, Greek, low fat milk, fruit"
48,"Yogurt, Greek, nonfat milk, fruit"
49,"Yogurt, NS as to type of milk, flavors other than fruit"
50,"Yogurt, whole milk, flavors other than fruit"
51,"Yogurt, low fat milk, flavors other than fruit"
52,"Yogurt, nonfat milk, flavors other than fruit"
53,"Yogurt, Greek, NS as to type of milk, flavors other than fruit"
54,"Yogurt, Greek, whole milk, flavors other than fruit"
55,"Yogurt, Greek, low fat milk, flavors other than fruit"
56,"Yogurt, Greek, nonfat milk, flavors other than fruit"
57,"Yogurt, Greek, with oats"
58,"Yogurt, liquid"
59,Yogurt tube
60,"Chipotle dip, yogurt based"
61,"Onion dip, yogurt based"
62,"Ranch dip, yogurt based"
63,"Spinach dip, yogurt based"
64,Tzatziki dip
65,"Vegetable dip, yogurt based"
66,"Yogurt parfait, with fruit"
67,"Frozen yogurt, NFS"
68,"Frozen yogurt, vanilla"
69,"Frozen yogurt, chocolate"
70,"Frozen yogurt, soft serve, vanilla"
71,"Frozen yogurt, soft serve, chocolate"
72,Frozen yogurt sandwich
73,"Frozen yogurt bar, vanilla"
74,"Frozen yogurt bar, chocolate"
75,"Frozen yogurt cone, chocolate"
76,"Frozen yogurt cone, vanilla"
77,"Frozen yogurt cone, vanilla, waffle cone"
78,"Frozen yogurt cone, chocolate, waffle cone"
79,"Baby Toddler food, NFS"
80,"Baby Toddler yogurt, plain"
81,"Baby Toddler yogurt, with fruit"
82,"Chocolate milk, NFS"
83,"Chocolate milk, whole"
84,"Chocolate milk, reduced fat (2%)"
85,"Chocolate milk, fat free (skim)"
86,"Chocolate milk, low fat (1%)"
87,"Chocolate milk, reduced sugar, NFS"
88,"Hot chocolate / cocoa, NFS"
89,"Hot chocolate / cocoa, made with whole or reduced fat (2%) milk"
90,"Hot chocolate / cocoa, made with lowfat (1%) or fat free (skim) milk"
91,"Hot chocolate / cocoa, made with non-dairy milk"
92,"Hot chocolate / cocoa, with whipped cream"
93,"Chocolate milk, Nesquik, NS as to type of milk"
94,"Chocolate milk, Nesquik, made with non-dairy milk"
95,"Chocolate milk, reduced sugar, whole"
96,"Chocolate milk, reduced sugar, reduced fat (2%)"
97,"Chocolate milk, reduced sugar, low fat (1%)"
98,"Chocolate milk, reduced sugar, fat free (skim)"
99,"Hot chocolate / cocoa, dry mix, made with water"
100,"Hot chocolate / cocoa, dry mix, made with whole or reduced fat (2%) milk"
101,"Hot chocolate / cocoa, dry mix, made with lowfat (1%) or fat free (skim) milk"
102,"Hot chocolate / cocoa, dry mix , made with non-dairy milk"
103,"Hot chocolate / cocoa, dry mix, made with water, with whipped cream"
104,"Hot chocolate / cocoa, dry mix, reduced sugar, made with water"
105,"Hot chocolate / cocoa, dry mix, reduced sugar, made with whole or reduced fat (2%) milk"
106,"Hot chocolate / cocoa, reduced sugar, made with non-dairy milk"
107,"Hot chocolate / cocoa, reduced sugar, made with whole or reduced fat (2%) milk"
108,"Hot chocolate / cocoa, dry mix, reduced sugar, made with lowfat (1%) or fat free (skim) milk"
109,"Hot chocolate / cocoa, reduced sugar, made with lowfat (1%) or fat free (skim) milk"
