food_name,category,healthy,long_covid,me_cfs,mcas,pots,notes
"Milk, NFS",Dairy milk,ok,ok,ok,ok,ok,Fresh milk is low histamine
"Milk, whole",Dairy milk,ok,ok,ok,ok,ok,Fresh milk is low histamine
"Milk, reduced fat (2%)",Dairy milk,ok,ok,ok,ok,ok,Fresh milk is low histamine
"Milk, low fat (1%)",Dairy milk,ok,ok,ok,ok,ok,Fresh milk is low histamine
"Milk, fat free (skim)",Dairy milk,ok,ok,ok,ok,ok,Fresh milk is low histamine
"Milk, lactose free, low fat (1%)",Dairy milk,ok,ok,ok,ok,ok,Fresh milk is low histamine
"Milk, lactose free, fat free (skim)",Dairy milk,ok,ok,ok,ok,ok,Fresh milk is low histamine
"Milk, lactose free, reduced fat (2%)",Dairy milk,ok,ok,ok,ok,ok,Fresh milk is low histamine
"Milk, lactose free, whole",Dairy milk,ok,ok,ok,ok,ok,Fresh milk is low histamine
Buttermilk,Buttermilk,ok,caution,caution,avoid,neutral,Fermented; histamine accumulates
Kefir,Kefir,ok,ok,caution,avoid,neutral,Fermented dairy; high histamine
Goat milk,Oat milk,ok,ok,ok,ok,neutral,Generally well tolerated
"Milk, dry, reconstituted, nonfat",Dairy milk,ok,ok,ok,ok,ok,Fresh milk is low histamine
"Milk, dry, reconstituted, whole",Dairy milk,ok,ok,ok,ok,ok,Fresh milk is low histamine
"Milk, evaporated, NS as to fat content",Dairy milk,ok,ok,ok,ok,ok,Fresh milk is low histamine
"Milk, evaporated, whole",Dairy milk,ok,ok,ok,ok,ok,Fresh milk is low histamine
"Milk, evaporated, reduced fat (2%)",Dairy milk,ok,ok,ok,ok,ok,Fresh milk is low histamine
"Milk, evaporated, fat free (skim)",Dairy milk,ok,ok,ok,ok,ok,Fresh milk is low histamine
"Milk, condensed, sweetened",Dairy milk,ok,ok,ok,ok,ok,Fresh milk is low histamine
"Non-dairy milk, NFS",Non-dairy milk (NFS),ok,ok,ok,ok,neutral,Check for additives/carrageenan
"Soy milk, sweetened",Soy milk,ok,ok,ok,ok,neutral,Generally low histamine; check for additives
"Soy milk, unsweetened",Soy milk,ok,ok,ok,ok,neutral,Generally low histamine; check for additives
"Soy milk, chocolate",Soy milk,ok,ok,ok,ok,neutral,Generally low histamine; check for additives
"Almond milk, sweetened",Almond milk,ok,ok,ok,ok,neutral,Low histamine; check for carrageenan
"Almond milk, chocolate",Almond milk,ok,ok,ok,ok,neutral,Low histamine; check for carrageenan
"Almond milk, unsweetened",Almond milk,ok,ok,ok,ok,neutral,Low histamine; check for carrageenan
"Almond milk, NFS",Almond milk,ok,ok,ok,ok,neutral,Low histamine; check for carrageenan
Rice milk,Rice milk,ok,ok,ok,ok,neutral,Generally well tolerated
Oat milk,Oat milk,ok,ok,ok,ok,neutral,Generally well tolerated
Coconut milk,Coconut milk,ok,ok,ok,ok,neutral,Generally low histamine
"Yogurt, NFS",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Yogurt, Greek, NS as to type of milk or flavor",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Yogurt, NS as to type of milk or flavor",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Yogurt, NS as to type of milk, plain",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Yogurt, whole milk, plain",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Yogurt, low fat milk, plain",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Yogurt, nonfat milk, plain",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Yogurt, Greek, NS as to type of milk, plain",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Yogurt, Greek, whole milk, plain",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Yogurt, Greek, low fat milk, plain",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Yogurt, Greek, nonfat milk, plain",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Yogurt, NS as to type of milk, fruit",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Yogurt, whole milk, fruit",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Yogurt, low fat milk, fruit",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Yogurt, nonfat milk, fruit",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Yogurt, Greek, NS as to type of milk, fruit",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
